Title,Authors and Journal,Year,Cited by,Paper URL
Aboriginal Australian mitochondrial genome variation–an increased understanding of population antiquity and diversity,"N Nagle, M Van Oven, S Wilcox, S van Holst Pellekaan, C Tyler-Smith, ...",2017.0,55.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=20&pagesize=80&citation_for_view=7fG-vEIAAAAJ:q3CdL3IzO_QC
Mitochondrial DNA diversity of present-day Aboriginal Australians and implications for human evolution in Oceania,"N Nagle, KN Ballantyne, M Van Oven, C Tyler-Smith, Y Xue, S Wilcox, ...",2017.0,40.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=20&pagesize=80&citation_for_view=7fG-vEIAAAAJ:MLfJN-KU85MC
New native South American Y chromosome lineages,"MS Jota, DR Lacerda, JR Sandoval, PPR Vieira, D Ohasi, ...",2016.0,38.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=20&pagesize=80&citation_for_view=7fG-vEIAAAAJ:L7CI7m0gUJcC
Endothelial cell bioenergetics and mitochondrial DNA damage differ in humans having African or West Eurasian maternal ancestry,"DM Krzywanski, DR Moellering, DG Westbrook, KJ Dunham-Snary, ...",2016.0,30.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=20&pagesize=80&citation_for_view=7fG-vEIAAAAJ:vDijr-p_gm4C
"Ancestry, health, and lived experiences of enslaved Africans in 18th century Charleston: An osteobiographical analysis","RE Fleskes, AA Ofunniyin, JK Gilmore, E Poplin, SM Abel, WD Bueschgen, ...",2021.0,22.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=20&pagesize=80&citation_for_view=7fG-vEIAAAAJ:nZcligLrVowC
Analysis of biogeographic ancestry reveals complex genetic histories for indigenous communities of St. Vincent and Trinidad,"J Benn Torres, V Martucci, MC Aldrich, MG Vilar, T MacKinney, M Tariq, ...",2019.0,21.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=20&pagesize=80&citation_for_view=7fG-vEIAAAAJ:IUKN3-7HHlwC
"Mitochondrial DNA ancestry, HPV infection and the risk of cervical cancer in a multiethnic population of northeastern Argentina","I Badano, DJ Sanabria, ME Totaro, S Rubinstein, JA Gili, DJ Liotta, ...",2018.0,18.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=20&pagesize=80&citation_for_view=7fG-vEIAAAAJ:edDO8Oi4QzsC
Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers,"YC Liu, R Hunter-Anderson, O Cheronet, J Eakin, F Camacho, ...",2022.0,15.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=20&pagesize=80&citation_for_view=7fG-vEIAAAAJ:uDGL6kOW6j0C
Genetic landscape of Gullah african Americans,"KD Zimmerman, TG Schurr, WM Chen, U Nayak, JC Mychaleckyj, Q Quet, ...",2021.0,12.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=20&pagesize=80&citation_for_view=7fG-vEIAAAAJ:Ehil0879vHcC
Host genetic factors and susceptibility to SARS-CoV-2 infection.,TG Schurr,2021.0,10.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=20&pagesize=80&citation_for_view=7fG-vEIAAAAJ:OP4eGU-M3BUC
Ancient DNA and bioarchaeological perspectives on European and African diversity and relationships on the colonial Delaware frontier,"RE Fleskes, KS Bruwelheide, FL West, DW Owsley, DR Griffith, KG Barca, ...",2019.0,9.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=20&pagesize=80&citation_for_view=7fG-vEIAAAAJ:mNrWkgRL2YcC
Genetic diversity in S vaneti and its implications for the human settlement of the H ighland C aucasus,"A Yardumian, R Shengelia, D Chitanava, S Laliashvili, L Bitadze, ...",2017.0,9.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=20&pagesize=80&citation_for_view=7fG-vEIAAAAJ:foquWX3nUaYC
"An emerging history of indigenous Caribbean and circum‐Caribbean populations: insights from archaeological, ethnographic, genetic, and historical studies","TG Schurr, JB Torres, MG Vilar, JB Gaieski, C Melendez",2016.0,8.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=20&pagesize=80&citation_for_view=7fG-vEIAAAAJ:gsN89kCJA0AC
